Accepted.Name,mean.m1.length,mean.m1.width,overall.n.sampled.m1.length,overall.n.sampled.m1.width,measured.m1,ref,notes,Uncertain,alt.body.mass,continent
Argyromys cicigei,2.045,1.384,4,5,,"A new species of Argyromys (Rodentia, Mammalia) from the Oligocene of the Valley of Lakes (Mongolia): Its importance for palaeobiogeographical homogeneity across Mongolia, China and Kazakhstan Paloma López-Guerrero ,Olivier Maridet,Zhaoqun Zhang,Gudrun Daxner-Höck 2017",,,,Asia
Armania asiana,,,,,,"HYRACODONTIDS AND RHINOCEROTIDS (MAMMALIA, PERISSODACTYLA, RHINOCEROTOIDEA) FROM THE PALEOGENE OF MONGOLIA by Demberelyin DASHZEVEG",no lower teeth,,,Asia
Arnebolagus leporinus,,,,,,"The Earliest Lagomorph (Lagomorpha, Mammalia) from the Basal Eocene of Mongolia A. V. Lopatin and A. O. Averianov 2008",right P3 only,,,Asia
Asiadidelphis zaissanense,1.3,0.7,1,1,,"Oligocene-Miocene Vertebrates from the Valley of Lakes (Central Mongolia): Morphology, phylogenetic and stratigraphic implications Editor: Gudrun DAXNER-HÖCK 4. Marsupialia, Erinaceomorpha and Soricomorpha (Mammalia) By Reinhard ZIEGLER1 , Thomas DAHLMANN2 , and Gerhard STORCH 2007",,,,Asia
Asianeomys asiaticus,,,,,,,"m1 or m2 Alternative combinations: Eomyodon asiaticus, Pseudotheridomys asiaticus. Measured as Pseudotheridomys asiaticus",,,Asia
Asianeomys bolligeri,,,,,,"The eomyid rodents (Mammalia) from the Oligocene and Miocene of the Valley of Lakes (Central Mongolia) Olivier Maridet, Gudrun Daxner-Hock, Demchig Badamgarav, Ursula B. Gohlich 2015",unknown if m1 or m2,,,Asia
Asianeomys dangheensis,,,,,,"The eomyid rodents (Mammalia) from the Oligocene and Miocene of the Valley of Lakes (Central Mongolia) Olivier Maridet, Gudrun Daxner-Hock, Demchig Badamgarav, Ursula B. Gohlich 2015",unknown if m1 or m2,,,Asia
Asianeomys junggarensis,,,,,,"W.-Y. Wu, J. Meng, J. Ye and X.J. Ni. 2006. The first finds of Eomyids (Rodentia) from the Late Oligocene-Early Miocene of the Northern Junggar Basin, China. Beiträge zur Paläontologie 30:469-479",Can't find paper,,,Asia
Asiapator onchin,,,,,,"First Apatemyid Mammal from Central Asia Alexey V. Lopatin, Alexander O. Averianov 2022",no m1,,,Asia
Asiapternodus mackennai,1.5,0.5,1,1,,"A Zalambdodont Insectivore of the Family Apternodontidae (Insectivora, Mammalia) from the Middle Eocene of Mongolia A. V. Lopatin 2003",Y,,,Asia
Asiavorator gracilis,10,4.5,1,1,,"DEMBERELYIN DASHZEVEG 1996 Some Carnivorous Mammals from the Paleogene of the Eastern Gobi Desert, Mongolia, and the Application of Oligocene Carnivores to Stratigraphic Correlation",Paper has Stenoplesictis simplex,,,Asia
Asiocoryphodon conicus,29.7,23.25,2,2,,"EOCENE MAMMALS FROM THE LIGUANQIAO BASIN, HENAN, CHINA, AND THE BOUNDARY BETWEEN THE BUMBANIAN AND ARSHANTAN LAND-MAMMAL “AGES” SPENCER G. LUCAS ",Measurements (in mm) of the holotype of Asiocoryphodon progressivus (GV 86024) and the holotype of A. conicus (IVPP V 5141). ,,,Asia
Asiocoryphodon lophodontus,,,,,,https://www.tandfonline.com/doi/abs/10.1080/02724634.1988.10011670,can't find paper,,,Asia
Asiohyopsodus confuciusi,3.116666667,2.55,6,6,,Tong & Wang 2006 Fossil Mammals from the Early Eocene Wutu Formation of Shandong Province,,,,Asia
Asioictops mckennai,,,,,,Tong & Wang 2006 Fossil Mammals from the Early Eocene Wutu Formation of Shandong Province,upper teeth only,,,Asia
Asiomomys changbaicus,,,,,,"Wang and Li, 1990 First Paleogene Mammalian Fauna from the Northeast China",no m1,,,Asia
Asiomys dawsoni,,,,,,"Li, Q., Wang, Y.-Q., and Fostowicz-Frelik, ?. 2016. Small mammal fauna from Wulanhuxiu (Nei Mongol, China) implies the Irdinmanhan–Sharamurunian (Eocene) faunal turnover. Acta Palaeontologica Polonica 61 (4): 759–776.",no m1,,,Asia
Asionyctia guoi,1.36,0.87,16,16,,"Missiaen and Smith, 2005 A new Paleocene nyctitheriid insectivore from Inner Mongolia (China) and the origin of Asian nyctitheriids",,,,Asia
Asioplesiadapis youngi,,,,,TO MEASURE,,,,,Asia
Astigale wanensis,,,,,,,can't find paper,,,Asia
Auroratherium sinense,2,1.45,2,2,,"A NEW PALAEANODONT (MAMMALIA) FROM THE EARLY EOCENE OF WUTU BASIN, SHANDONG PROVINCE TONG Yongsheng, WANG Jingweli 1997",,,,Asia
