Accepted.Name,mean.m1.length,mean.m1.width,overall.n.sampled.m1.length,overall.n.sampled.m1.width,measured.m1,ref,notes,Uncertain,alt.body.mass,continent
Paramylodon harlani,27.2,28.75,2,2,,McDonald et al. 2004,incorrectly identified as second molariform (see Naples 1989),,,US
Paramys adamus,1.49,1.49,2,2,,Dawson and Beard 1996,Dawson and Beard 1996 (Big Multi),,,
Paramys compressidens,4.327766667,4.157233333,6,6,,Wood 1962,Wood 1962 (Uinta Fm.: two specimens not remeasured by Korth 1988a),,,US
Paramys copei,3.283357143,3.130071429,50,50,,Wood 1962,"Wood 1962 (""P. wortmani"": Lost Cabin)",,,
Paramys delicatior,3.593333333,3.356666667,3,3,,Eaton 1982,Eaton 1982 (UW V-78001),,,US
Paramys delicatus,4.123333333,3.98,60,60,,Wood 1962,Wood 1962 (Bridger Formation),,,
Paramys excavatus,2.67,2.53,2,2,,Eaton 1982,Eaton 1982,,,
Paramys hunti,2.78,2.645,2,2,,Dawson 2001,Dawson 2001 (type: Ellesmere Island),,,CA
Paramys leptodus,5.09,5.21,2,2,,Wood 1974,Wood 1974 (TMM 40498: repeated by Wilson and Stevens 1986),,,US
Paramys taurus,2.805,2.72,25,25,,Wood 1962,"Wood 1962 (""P. excavatus obliquidens"" type: S. Elk Creek)",,,
Paramys wyomingensis,2.766666667,2.706666667,10,10,,Eaton 1982,Eaton 1982,,,
Paranamatomys storeri,0.98,0.94,1,1,,Ostrander 1983,Ostrander 1983a (type),,,
Paranyctoides maleficus,1.54,0.98,5,5,,Fox 1984,Fox 1984b,,,
Paranyctoides sternbergi,1.45,1,2,2,,Fox 1971,Fox 1971a,,,
Parapaenemarmota oregonensis,4.6,4.925,2,2,,Shotwell 1956,"Shotwell 1956 (type, McKay Reservoir: see also Nelson and Miller 1990, J. Martin 1998)",,,
Parapliohippus carrizoensis,15.55,9.35,2,2,,Dougherty 1940,Dougherty 1940b (CIT 315/324),,,US
Parapliosaccomys annae,1.215,1.575,6,6,,Korth 1987,Korth 1987a (type),,,
Parapliosaccomys hibbardi,1.276666667,1.944433333,6,6,,Storer 1973,Storer 1973 (WaKeeney: m12),,,
Parapliosaccomys oregonensis,1.09,1.63,1,1,,Kelly 2000,Kelly 2000 (UCMP V-95013),,,US
Parapliosaccomys transversus,1.46,1.74,5,5,,Barnosky 1986,Barnosky 1986b (Colter Formation: m12),,,
Parapotos tedfordi,8.9,5.5,1,1,,Baskin 2003,Baskin 2003 (type: Stephen Prairie),,,US
Pararyctes pattersoni,1.6,1.275,2,2,,Van Valen 1966,Van Valen 1966 (Bison Basin),,,US
Paratamias tarassus,1.365,1.4,2,2,,Tedrow et al. 2001,Tedrow et al. 2001 (type: Rockland Valley Gravel Quarry),,,US
Paratomarctus euthos,20.34,7.81,34,34,,Wang et al. 1999,Wang et al. 1999 (includes material remeasured from Macdonald 1960),,,
Paratomarctus temerarius,17.87,7.18,94,94,,Wang et al. 1999,Wang et al. 1999 (includes type; referred material of Voorhies 1990),,,
Paratylopus labiatus,11.66666667,6.766666667,3,3,,Prothero 1996,Prothero 1996d (type),,,
Parectypodus corystes,2.7,1.05,2,2,,Scott 2003,Scott 2003 (Who Nose: includes type),,,CA
Parectypodus foxi,2.98,1.395,1,1,,Storer 1991,Storer 1991 (type: Gryde),,,CA
Parectypodus lunatus,1.98,1.01,13,13,,Krause 1982,"Krause 1982 (Four Mile; Bighorn Basin; Powder River Basin; Wiliston Basin: presumably includes type and some of 12 East Alheit ""P. childei"" specimens of Sloan 1981, and ""modal"" value specimen of Sloan 1987)",,,
Parectypodus sinclairi,1.85,0.825,4,4,,Simpson 1937,"Simpson 1937a (presumably includes ""modal"" value Parectypodus sinclairi specimen of Sloan 1987)",,,
Parectypodus sylviae,1.915,0.8,4,4,,Sloan 1987,"Sloan 1987 (""modal"" value)",,,
Parectypodus trovessartianus,3.1,1.4,1,1,,Sloan 1987,"Sloan 1987 (""modal"" value)",,,
Pareumys boskeyi,1.9,1.73,5,5,,Wood 1973,Wood 1973 (TMM 41372),,,US
Pareumys grangeri,1.7,1.7,3,3,,Burke 1935,Burke 1935a (type: White River),,,US
Pareumys guensburgi,2.3,2.1,1,1,,Black 1970,"Black 1970a (type, Lapoint)",,,US
Pareumys milleri,1.85,1.85,1,1,,Wilson 1940,Wilson 1940c (CIT 150),,,US
Pareumys troxelli,2,1.8,1,1,,Burke 1935,Burke 1935a (type: White River),,,US
Pariadens kirklandi,2.69,1.39,1,1,,Eaton 1993,Eaton 1993b,,,
Parictis parvus,6.744433333,3.666666667,5,5,,Clark and Beerbower 1967,Clark and Beerbower 1967,,,
Parictis personi,7.6,4.1,2,2,,Alroy 2000,Chaffee 1952 (type),,,
Parikimys carpenteri,2.51,1.15,1,1,,Wilson et al. 2010,,,,US
Paromomys depressidens,2.103333333,1.643333333,3,3,,Simpson 1937,Simpson 1937a,,,
Paromomys maturus,2.968333333,2.211,23,23,,Simpson 1937,Simpson 1937a,,,
Paronychomys alticuspis,1.49,0.98,3,3,,Baskin 1979,,,,US
Paronychomys lemredfieldi,1.626,0.9885,19,19,,Jacobs 1977,Jacobs 1977,,,
Paronychomys shotwelli,2.26,1.29,1,1,,Shotwell 1967,Shotwell 1967a (UO 2469),,,US
