Accepted.Name;mean.m1.length;mean.m1.width;overall.n.sampled.m1.length;overall.n.sampled.m1.width;measured.m1;ref;notes;Uncertain;alt.body.mass;continent
Bolosomys brachybamon;;;;;;;specimen not found;;;
Bothriodon chowi;;;;;;;paper not availble on google scholar;;;
Bothriodon sandaensis;19.7;20.6;1;1;;"Tsubamoto, Takehisa, et al. ""Geological age of the Yokawa Formation of the Kobe Group (Japan) on the basis of terrestrial mammalian fossils."" Island Arc 16.3 (2007): 479-492.";;;;
Bothriogenys fraasi;;;;;;;paper not availble on google scholar;;;
Bothriogenys gorringei;;;;;;;paper not found;;;
Bothriogenys hui;;;;;;;paper not availble on google scholar;;;
Bothriogenys langsonensis;16.7;12.7;1;1;;"Ducrocq, Stéphane, et al. ""New anthracotheres (Cetartiodactyla, Mammalia) from the Paleogene of northeastern Vietnam: biochronological implications."" Journal of Vertebrate Paleontology 35.3 (2015): e929139.";;;;
Bothriogenys orientalis;;;;;;;paper not availble on google scholar;;;
Bothriogenys vietnamensis;13.9;8.5;2;2;;"Ducrocq, Stéphane, et al. ""New anthracotheres (Cetartiodactyla, Mammalia) from the Paleogene of northeastern Vietnam: biochronological implications."" Journal of Vertebrate Paleontology 35.3 (2015): e929139.";;;;
Bothriostylops medius;3.1;1.4;1;1;;"HUANG XueShi, ZHENGJiaJian. ""Note on two new mammalian species from the late Paleocene of Nanxiong, Guangdong."" Vertebrata PalAsiatica 41.04 (2003): 271.";;;;
Bothriostylops notios;;;;;;;paper not availble on google scholar;;;
Brachyhyops yunnanense;13.2;9.6;1;1;;"Ban-Yue, W. A. N. G., and Q. I. U. Zhan-Xiang. ""A new species of Entelodontidae (artiodactyla, mammalia) from late Eocene of Nei Mongol, China."" Vertebrata PalAsiatica 40.03 (2002): 194.";;;;
Bransatoglis complicatus;;;;;;;paper not found;;;
Bransatoglis sjeni;;;;;;;paper not availble on google scholar;;;
Breviodon lumeiyiensis;;;;;;;paper not availble on google scholar;;;
Buginbaatar transaltaiensis;;;;;;;m1 not found;;;
Bugtilemur mathesoni;2.25;1.53;1;1;;"Marivaux, Laurent, et al. ""A fossil lemur from the Oligocene of Pakistan."" Science 294.5542 (2001): 587-591.";;;;
Bugtimys zafarullahi;3.11;2.46;1;1;;"Marivaux, Laurent, et al. ""The role of Asia in the origin and diversification of hystricognathous rodents."" Zoologica scripta 31.3 (2002): 225-239.";;;;
Bugtipithecus inexpectans;;;;;;;m1 not found;;;
Bugtitherium grandincisivum;;;;;;"Métais, Grégoire, et al. ""New remains of the enigmatic cetartiodactyl Bugtitherium grandincisivum Pilgrim, 1908, from the upper Oligocene of the Bugti Hills (Balochistan, Pakistan)."" Naturwissenschaften 93 (2006): 348-355.";m3 found not m1;;;
Bulganbaatar nemegtbaataroides;;;;;;Kielan-Jaworowska, Zofia. Multituberculate Succession in the Late Cretaceuos of the Gobi Desert Mongolia. Krakow, 1974.;m1 not found;;;
Bunobrontops savagei;;;;;;"Holroyd, Patricia A., and Russell L. Ciochon. ""Bunobrontops savagei a new genus and species of brontotheriid perissodactyl from the Eocene Pondaung fauna of Myanmar."" Journal of Vertebrate Paleontology 20.2 (2000): 408-410.";not sure if its m1 or m2;;;
Cadurcodon kazakademius;;;;;;;pape rnot found;;;
Cambaya complexus;1.75;2.5;1;1;;"Smith, Thierry, et al. ""High bat (Chiroptera) diversity in the Early Eocene of India."" Naturwissenschaften 94 (2007): 1003-1009.";;;;
Cambaylophus vastanensis;;;;;;;paper not found;;;
Cambaytherium gracilis;9.47;12.48;3;3;;"Smith, Thierry, et al. ""New early Eocene vertebrate assemblage from western India reveals a mixed fauna of European and Gondwana affinities."" Geoscience Frontiers 7.6 (2016): 969-1001.";;;;
Cambaytherium marinus;;;;;;;specimen not found;;;
Cambaytherium thewissi;11.86;16.56;11;11;;"Rose, Kenneth D., et al. ""Anatomy, relationships, and paleobiology of Cambaytherium (Mammalia, Perissodactylamorpha, Anthracobunia) from the lower Eocene of western India."" Journal of Vertebrate Paleontology 39.sup1 (2019): 1-147.";;;;
Capacikala sajakensis;;;;;;;paper not found;;;
Carnilestes major;3.5;3.9;1;1;;"Wang, Xiaoming, and Renjie Zhai. ""Carnilestes, a new primitive lipotyphlan (Insectivora: Mammalia) from the early and middle Paleocene, Nanxiong Basin, China."" journal of Vertebrate Paleontology 15.1 (1995): 131-145.";;;;
Carnilestes palaeoasiaticus;2.2;2.7;1;1;;"Wang, Xiaoming, and Renjie Zhai. ""Carnilestes, a new primitive lipotyphlan (Insectivora: Mammalia) from the early and middle Paleocene, Nanxiong Basin, China."" journal of Vertebrate Paleontology 15.1 (1995): 131-145.";;;;
Cephalogale meschethense;;;;;;;paper not found;;;
Chaoyangodens lii;;;;;;;paper not accessible;;;
Chapattimys debruijni;;;;;;"Hartenberger, Jean-Louis. ""A review of the Eocene rodents of Pakistan."" (1982).";m3 found not m1;;;
Chapattimys wilsoni;;;;;;;paper not availble on google scholar;;;
Chaprongictis phetchaburiensis;20.0;9.7;1;1;;"Peigné, Stéphane, et al. ""A new member of the Mustelida (Mammalia: Carnivora) from the Paleogene of Southern Asia."" Journal of Vertebrate Paleontology 26.3 (2006): 788-793.";;;;
Chibanycteris herberti;;;;;;;m2 found not m1;;;
Chkhikvadzomys elpisma;;;;;;;specimen not found;;;
Chonecetus tomitai;;;;;;;specimen not found;;;
Chonecetus yabukii;;;;;;;specimen not found;;;
Chorlakkia hassani;3.6;5.1;1;1;;"Gingerich, Philip D., et al. ""Chorlakkia hassani, a new middle Eocene dichobunid (Mammalia, Artiodactyla) from the Kuldana Formation of Kohat (Pakistan)."" (1979).";;;;
Cocomys lingchaensis;;;;;;;m1 not found;;;
Colodon orientalis;;;;;;;specimen not found;;;
Cretasorex arkhangelskyi;;;;;;;teeth measurement not found;;;
Cricetops auster;3.8;2.9;1;1;;"Li, Lüzhou, et al. ""First record of Cricetops rodent in the Oligocene of southwestern China."" Historical Biology 29.4 (2017): 488-494.";;;;
Dakshina jederi;;;;;;;m1 not found;;;
Dalanistes ahmedi;35.9;14.5;1;1;;"Gingerich, Philip D., Muhammad Arif, and William C. Clyde. ""New Archaeocetes (Mammalia, Cetacea) from the Middle Eocene Domanda Formation of Sulaiman Range, Punjab (Pakistan)."" (1995).";;;;
Danjiangia lambdodon;7.4;NA;1;1;;"Bai, Bin, Yuan-Qing Wang, and Jin Meng. ""The divergence and dispersal of early perissodactyls as evidenced by early Eocene equids from Asia."" Communications Biology 1.1 (2018): 115.";;;;
Deccanolestes narmadensis;;;;;;"Prasad, Guntupalli VR, et al. ""First mammal evidence from the Late Cretaceous of India for biotic dispersal between India and Africa at the KT transition."" Comptes Rendus Palevol 9.1-2 (2010): 63-71.";m1 is uncertain;;;
Deltatheridium nessovi;;;;;;;m2 found not m1;;;
Deltatheridium pretrituberculare;;;;;to measure;"Rougier, Guillermo W., John R. Wible, and Michael J. Novacek. ""Implications of Deltatheridium specimens for early marsupial history."" Nature 396.6710 (1998): 459-463.";measure from picture;;;
Deltatheroides cretacicus;;;;;;"ROUGIER, GUILLERMO W., JOHN R. WIBLE, and MICHAEL J. NOVACEK. ""New specimen of Deltatheroides cretacicus (Metatheria, Deltatheroida) from the late Cretaceous of Mongolia."" Bulletin of Carnegie Museum of Natural History 2004.36 (2004): 245-266.";m1 not found;;;
Dermotherium chimaera;5.2;4.2;1;1;;"Marivaux, Laurent, et al. ""Cynocephalid dermopterans from the Palaeogene of South Asia (Thailand, Myanmar and Pakistan): systematic, evolutionary and palaeobiogeographic implications."" Zoologica Scripta 35.4 (2006): 395-420.";;;;
Dermotherium major;;;;;;;paper not availble;;;
Desmanella compacta;;;;;;;specimen not found;;;
Desmatolagus periaralicus;2.5;4.1;1;1;;"Lopatin, A. V. ""A revision of the early Miocene Lagomorpha (Mammalia) from the North Aral region."" PALEONTOLOGICAL JOURNAL C/C OF PALEONTOLOGICHESKII ZHURNAL 32 (1998): 291-304.";;;;
Desmatolagus veletus;3.0;2.9;1;1;;"Lopatin, A. V. ""A revision of the early Miocene Lagomorpha (Mammalia) from the North Aral region."" PALEONTOLOGICAL JOURNAL C/C OF PALEONTOLOGICHESKII ZHURNAL 32 (1998): 291-304.";;;;
Dhedacetus hyaeni;;;;;;"Bajpai, Sunil, and J. G. M. Thewissen. ""Protocetid cetaceans (Mammalia) from the Eocene of India."" (2014): 1-19.";M1 found not m1;;;
Dhofarella thaleri;;;;;;;paper not found;;;
Diaceratherium lamilloquense;;;;;;;paper not found;;;
